id,stance,category
0,1,celebrity
1,0,unrelated
2,1,info_news
3,1,restrictions
4,1,restrictions
5,1,info_news
6,1,celebrity
7,1,info_news
8,1,personal
9,1,info_news
10,1,info_news
11,1,info_news
12,1,celebrity
13,1,personal
14,-1,personal
15,1,personal
16,1,info_news
17,1,info_news
18,1,personal
19,0,personal
20,0,unrelated
21,0,info_news
22,1,info_news
23,1,info_news
24,1,info_news
25,1,info_news
26,1,personal
27,1,plan
28,1,celebrity
29,1,celebrity
30,1,info_news
31,1,plan
32,1,personal
33,1,info_news
34,-1,info_news
35,-1,info_news
36,1,info_news
37,1,info_news
38,1,plan
39,1,info_news
40,1,personal
41,1,info_news
42,0,personal
43,1,info_news
44,1,personal
45,1,celebrity
46,1,info_news
47,1,info_news
48,-1,personal
49,1,plan
50,1,personal
51,1,info_news
52,0,personal
53,1,info_news
54,1,personal
55,-1,celebrity
56,1,info_news
57,1,personal
58,1,plan
59,1,personal
60,0,unrelated
61,1,celebrity
62,1,requests
63,1,personal
64,1,info_news
65,1,info_news
66,1,info_news
67,1,plan
68,1,personal
69,1,personal
70,1,plan
71,1,plan
72,-1,info_news
73,1,personal
74,0,rumors
75,1,info_news
76,1,personal
77,1,personal
78,1,personal
79,1,celebrity
80,1,personal
81,1,personal
82,1,plan
83,1,celebrity
84,1,info_news
85,0,personal
86,1,info_news
87,0,plan
88,1,celebrity
89,1,info_news
90,1,celebrity
91,1,info_news
92,1,info_news
93,1,requests
94,-1,requests
95,1,celebrity
96,1,personal
97,1,info_news
98,1,personal
99,1,unrelated
100,1,personal
101,0,personal
102,-1,celebrity
103,1,unrelated
104,1,info_news
105,1,personal
106,1,info_news
107,1,plan
108,1,celebrity
109,1,info_news
110,1,celebrity
111,1,unrelated
112,0,unrelated
113,1,info_news
114,1,info_news
115,1,plan
116,1,unrelated
117,1,info_news
118,1,personal
119,1,info_news
120,1,personal
121,-1,info_news
122,1,info_news
123,1,requests
124,1,plan
125,1,personal
126,0,personal
127,1,plan
128,1,info_news
129,-1,info_news
130,1,celebrity
131,1,others
132,1,personal
133,1,info_news
134,1,personal
135,1,info_news
136,1,plan
137,1,plan
138,1,celebrity
139,1,info_news
140,1,celebrity
141,1,info_news
142,1,celebrity
143,1,info_news
144,1,info_news
145,1,personal
146,1,personal
147,1,personal
148,1,personal
149,1,plan
150,0,unrelated
151,0,unrelated
152,1,celebrity
153,1,info_news
154,1,personal
155,1,info_news
156,1,info_news
157,1,plan
158,1,plan
159,1,celebrity
160,1,info_news
161,1,celebrity
162,1,info_news
163,1,info_news
164,1,personal
165,1,personal
166,0,unrelated
167,1,celebrity
168,1,personal
169,1,celebrity
170,-1,info_news
171,1,info_news
172,1,info_news
173,1,celebrity
174,1,info_news
175,1,advice
176,1,info_news
177,1,info_news
178,1,personal
179,-1,info_news
180,1,info_news
181,1,personal
182,1,requests
183,1,info_news
184,1,personal
185,1,info_news
186,1,info_news
187,1,personal
188,1,info_news
189,1,info_news
190,1,info_news
191,1,info_news
192,1,info_news
193,1,info_news
194,1,restrictions
195,1,celebrity
196,1,celebrity
197,1,celebrity
198,1,unrelated
199,0,unrelated
200,1,info_news
201,1,info_news
202,1,info_news
203,1,info_news
204,0,info_news
205,1,info_news
206,1,info_news
207,-1,info_news
208,1,celebrity
209,1,personal
210,1,info_news
211,1,info_news
212,1,personal
213,0,personal
214,-1,personal
215,0,personal
216,1,plan
217,1,plan
218,1,personal
219,1,personal
220,1,plan
221,1,info_news
222,1,plan
223,1,celebrity
224,1,info_news
225,-1,info_news
226,1,info_news
227,1,plan
228,1,plan
229,1,personal
230,1,info_news
231,1,celebrity
232,1,info_news
233,0,info_news
234,1,info_news
235,-1,info_news
236,1,plan
237,1,info_news
238,1,plan
239,1,info_news
240,1,info_news
241,1,info_news
242,1,plan
243,1,info_news
244,1,info_news
245,1,info_news
246,1,info_news
247,1,info_news
248,1,info_news
249,1,plan
250,1,celebrity
251,1,info_news
252,1,info_news
253,1,info_news
254,1,info_news
255,1,celebrity
256,1,info_news
257,1,info_news
258,1,personal
259,1,personal
260,1,others
261,1,celebrity
262,1,info_news
263,1,plan
264,1,celebrity
265,0,info_news
266,0,personal
267,1,requests
268,1,info_news
269,1,celebrity
270,-1,personal
271,1,plan
272,1,info_news
273,1,celebrity
274,1,info_news
275,1,celebrity
276,1,info_news
277,1,info_news
278,1,info_news
279,1,requests
280,1,info_news
281,1,info_news
282,1,celebrity
283,1,plan
284,1,celebrity
285,1,info_news
286,1,requests
287,0,info_news
288,1,plan
289,1,unrelated
290,1,unrelated
291,-1,info_news
292,0,unrelated
293,1,others
294,1,plan
295,1,celebrity
296,0,others
297,1,celebrity
298,1,info_news
299,1,info_news
300,1,personal
301,1,celebrity
302,1,personal
303,1,personal
304,1,info_news
305,1,plan
306,1,info_news
307,1,info_news
308,0,others
309,1,info_news
310,1,info_news
311,1,info_news
312,1,info_news
313,1,info_news
314,1,plan
315,1,celebrity
316,1,info_news
317,1,info_news
318,1,celebrity
319,1,celebrity
320,1,celebrity
321,1,personal
322,1,personal
323,-1,info_news
324,1,info_news
325,1,celebrity
326,1,info_news
327,1,info_news
328,1,plan
329,0,others
330,1,personal
331,1,celebrity
332,1,plan
333,1,personal
334,0,unrelated
335,1,info_news
336,1,personal
337,1,celebrity
338,1,plan
339,1,celebrity
340,1,celebrity
341,1,celebrity
342,1,info_news
343,1,info_news
344,1,info_news
345,1,info_news
346,1,unrelated
347,1,celebrity
348,-1,info_news
349,0,others
350,1,info_news
351,1,plan
352,1,info_news
353,1,info_news
354,1,info_news
355,1,info_news
356,1,info_news
357,1,personal
358,0,unrelated
359,1,info_news
360,1,plan
361,1,celebrity
362,1,celebrity
363,1,personal
364,1,info_news
365,-1,info_news
366,1,info_news
367,-1,personal
368,1,info_news
369,1,plan
370,1,info_news
371,1,info_news
372,1,celebrity
373,1,celebrity
374,1,info_news
375,1,restrictions
376,1,info_news
377,-1,others
378,0,info_news
379,1,info_news
380,1,info_news
381,1,rumors
382,1,info_news
383,1,celebrity
384,1,celebrity
385,1,celebrity
386,1,plan
387,0,personal
388,0,unrelated
389,-1,info_news
390,1,plan
391,1,info_news
392,1,personal
393,1,info_news
394,1,personal
395,1,plan
396,1,info_news
397,1,celebrity
398,1,info_news
399,1,celebrity
400,1,unrelated
401,0,others
402,0,personal
403,1,others
404,1,info_news
405,1,info_news
406,1,info_news
407,0,unrelated
408,1,info_news
409,1,celebrity
410,1,celebrity
411,-1,celebrity
412,1,info_news
413,1,celebrity
414,1,personal
415,0,personal
416,1,celebrity
417,1,personal
418,1,celebrity
419,0,info_news
420,1,info_news
421,0,others
422,1,info_news
423,1,info_news
424,1,celebrity
425,0,personal
426,1,info_news
427,1,info_news
428,1,info_news
429,1,plan
430,0,unrelated
431,1,plan
432,1,celebrity
433,1,personal
434,1,personal
435,1,info_news
436,1,info_news
437,1,info_news
438,-1,info_news
439,1,info_news
440,1,info_news
441,-1,info_news
442,1,celebrity
443,1,plan
444,1,info_news
445,1,info_news
446,1,info_news
447,1,info_news
448,1,info_news
449,1,celebrity
450,1,celebrity
451,1,info_news
452,1,others
453,1,personal
454,1,info_news
455,1,info_news
456,0,personal
457,1,celebrity
458,1,celebrity
459,1,celebrity
460,1,personal
461,1,info_news
462,1,rumors
463,1,info_news
464,1,plan
465,1,celebrity
466,1,info_news
467,-1,personal
468,1,info_news
469,1,plan
470,1,celebrity
471,1,personal
472,0,unrelated
473,1,info_news
474,1,info_news
475,-1,info_news
476,1,info_news
477,1,celebrity
478,1,info_news
479,1,info_news
480,1,info_news
481,1,celebrity
482,0,celebrity
483,1,personal
484,1,celebrity
485,1,personal
486,1,info_news
487,1,info_news
488,1,rumors
489,1,celebrity
490,1,info_news
491,1,info_news
492,1,celebrity
493,0,others
494,-1,info_news
495,1,info_news
496,1,info_news
497,1,requests
498,-1,info_news
499,0,personal
500,1,info_news
501,0,unrelated
502,1,info_news
503,1,requests
504,1,plan
505,1,plan
506,1,plan
507,0,personal
508,0,personal
509,1,celebrity
510,1,info_news
511,1,info_news
512,0,unrelated
513,1,celebrity
514,1,info_news
515,1,celebrity
516,1,info_news
517,1,info_news
518,1,info_news
519,1,celebrity
520,0,info_news
521,1,plan
522,1,info_news
523,0,info_news
524,1,info_news
525,1,info_news
526,1,celebrity
527,-1,info_news
528,1,plan
529,0,others
530,1,advice
531,1,celebrity
532,1,personal
533,1,info_news
534,1,info_news
535,1,info_news
536,1,celebrity
537,1,info_news
538,1,celebrity
539,1,celebrity
540,1,info_news
541,1,personal
542,1,info_news
543,1,info_news
544,1,celebrity
545,1,info_news
546,1,plan
547,1,requests
548,0,rumors
549,1,celebrity
550,1,celebrity
551,1,personal
552,0,personal
553,1,plan
554,1,unrelated
555,1,plan
556,1,info_news
557,1,plan
558,1,info_news
559,0,personal
560,1,plan
561,1,plan
562,1,requests
563,1,info_news
564,1,info_news
565,1,info_news
566,1,info_news
567,1,celebrity
568,1,info_news
569,1,info_news
570,1,personal
571,1,info_news
572,1,plan
573,1,plan
574,1,info_news
575,1,info_news
576,-1,info_news
577,1,advice
578,-1,info_news
579,1,plan
580,1,celebrity
581,1,personal
582,1,personal
583,1,celebrity
584,1,info_news
585,1,info_news
586,1,others
587,1,info_news
588,1,celebrity
589,1,info_news
590,1,plan
591,1,info_news
592,1,others
593,0,unrelated
594,1,personal
595,1,plan
596,1,info_news
597,1,info_news
598,1,info_news
599,1,plan
600,-1,requests
601,1,info_news
602,1,plan
603,1,unrelated
604,1,info_news
605,1,info_news
606,-1,advice
607,0,others
608,0,rumors
609,-1,info_news
610,1,celebrity
611,1,celebrity
612,1,unrelated
613,0,info_news
614,1,info_news
615,1,info_news
616,1,info_news
617,1,info_news
618,1,personal
619,1,info_news
620,0,personal
621,1,info_news
622,1,personal
623,1,info_news
624,1,info_news
625,1,personal
626,1,plan
627,1,celebrity
628,1,celebrity
629,1,plan
630,1,info_news
631,0,personal
632,0,unrelated
633,1,celebrity
634,1,info_news
635,1,personal
636,1,celebrity
637,1,personal
638,1,celebrity
639,1,info_news
640,1,unrelated
641,1,info_news
642,1,info_news
643,1,info_news
644,0,unrelated
645,1,info_news
646,1,info_news
647,1,info_news
648,1,info_news
649,-1,info_news
650,1,others
651,1,info_news
652,1,celebrity
653,0,info_news
654,1,personal
655,1,info_news
656,1,info_news
657,1,info_news
658,1,info_news
659,1,info_news
660,0,unrelated
661,1,celebrity
662,1,plan
663,1,info_news
664,1,info_news
665,1,plan
666,0,unrelated
667,1,info_news
668,-1,info_news
669,1,plan
670,1,plan
671,1,info_news
672,1,celebrity
673,1,info_news
674,1,info_news
675,1,personal
676,1,personal
677,1,celebrity
678,1,unrelated
679,1,info_news
680,1,info_news
681,0,others
682,1,plan
683,1,personal
684,0,personal
685,1,info_news
686,-1,info_news
687,1,others
688,1,info_news
689,-1,info_news
690,1,plan
691,1,personal
692,1,info_news
693,1,info_news
694,1,celebrity
695,0,unrelated
696,1,celebrity
697,1,plan
698,1,advice
699,0,personal
700,0,personal
701,1,info_news
702,1,personal
703,1,info_news
704,0,info_news
705,1,info_news
706,1,personal
707,1,info_news
708,0,info_news
709,1,info_news
710,1,info_news
711,1,info_news
712,1,info_news
713,1,info_news
714,1,personal
715,1,info_news
716,1,plan
717,1,info_news
718,1,celebrity
719,1,info_news
720,0,info_news
721,1,celebrity
722,1,personal
723,1,plan
724,1,personal
725,1,celebrity
726,1,info_news
727,1,info_news
728,1,info_news
729,0,info_news
730,1,info_news
731,1,celebrity
732,1,info_news
733,1,others
734,1,info_news
735,1,info_news
736,-1,info_news
737,1,plan
738,1,info_news
739,-1,info_news
740,1,personal
741,1,info_news
742,0,unrelated
743,1,info_news
744,1,info_news
745,1,celebrity
746,1,plan
747,1,info_news
748,1,info_news
749,0,personal
750,1,personal
751,1,info_news
752,1,info_news
753,-1,info_news
754,1,plan
755,1,info_news
756,0,unrelated
757,1,info_news
758,1,info_news
759,1,celebrity
760,1,celebrity
761,1,info_news
762,1,personal
763,1,info_news
764,1,personal
765,1,plan
766,1,info_news
767,1,celebrity
768,1,personal
769,1,info_news
770,1,plan
771,1,requests
772,1,info_news
773,1,celebrity
774,1,celebrity
775,1,celebrity
776,1,celebrity
777,1,celebrity
778,1,info_news
779,1,info_news
780,1,personal
781,1,plan
782,0,others
783,1,info_news
784,1,info_news
785,1,celebrity
786,1,celebrity
787,1,others
788,1,personal
789,1,rumors
790,1,celebrity
791,1,requests
792,1,info_news
793,1,celebrity
794,1,info_news
795,1,info_news
796,1,plan
797,1,unrelated
798,1,info_news
799,1,info_news
800,1,info_news
801,1,celebrity
802,1,info_news
803,1,info_news
804,1,plan
805,1,info_news
806,1,info_news
807,1,info_news
808,1,info_news
809,1,personal
810,1,personal
811,1,advice
812,1,personal
813,1,plan
814,1,info_news
815,1,info_news
816,1,celebrity
817,1,plan
818,1,personal
819,1,rumors
820,1,celebrity
821,1,info_news
822,1,info_news
823,1,requests
824,1,info_news
825,1,info_news
826,1,celebrity
827,1,celebrity
828,1,info_news
829,1,celebrity
830,1,info_news
831,1,info_news
832,1,plan
833,0,info_news
834,1,info_news
835,1,info_news
836,1,celebrity
837,1,info_news
838,1,personal
839,1,others
840,1,info_news
841,1,personal
842,1,info_news
843,1,celebrity
844,1,info_news
845,-1,info_news
846,1,info_news
847,1,info_news
848,1,info_news
849,1,info_news
850,1,info_news
851,1,info_news
852,1,info_news
853,-1,plan
854,1,info_news
855,1,info_news
856,1,celebrity
857,1,info_news
858,1,info_news
859,1,info_news
860,1,celebrity
861,1,personal
862,1,plan
863,1,others
864,1,info_news
865,1,info_news
866,1,others
867,1,personal
868,1,info_news
869,0,info_news
870,-1,info_news
871,1,personal
872,-1,info_news
873,1,personal
874,1,info_news
875,1,celebrity
876,1,plan
877,0,info_news
878,1,personal
879,1,info_news
880,1,info_news
881,1,plan
882,1,unrelated
883,0,plan
884,1,info_news
885,1,info_news
886,1,celebrity
887,1,info_news
888,1,celebrity
889,1,info_news
890,-1,info_news
891,1,info_news
892,1,info_news
893,1,info_news
894,0,unrelated
895,1,info_news
896,1,plan
897,-1,info_news
898,1,celebrity
899,0,info_news
900,1,rumors
901,1,info_news
902,1,info_news
903,1,info_news
904,1,plan
905,1,personal
906,0,personal
907,1,personal
908,1,info_news
909,1,info_news
910,1,info_news
911,1,info_news
912,1,celebrity
913,1,personal
914,1,info_news
915,1,plan
916,1,info_news
917,1,rumors
918,1,celebrity
919,1,personal
920,1,info_news
921,1,info_news
922,1,info_news
923,1,info_news
924,1,plan
925,0,rumors
926,1,info_news
927,-1,requests
928,1,plan
929,1,info_news
930,1,plan
931,1,info_news
932,1,personal
933,1,others
934,1,plan
935,-1,info_news
936,-1,personal
937,1,plan
938,1,celebrity
939,1,others
940,1,plan
941,1,celebrity
942,1,info_news
943,0,unrelated
944,1,personal
945,0,personal
946,0,personal
947,1,personal
948,1,celebrity
949,1,info_news
950,-1,personal
951,1,info_news
952,-1,info_news
953,-1,rumors
954,1,celebrity
955,-1,info_news
956,1,info_news
957,1,celebrity
958,1,info_news
959,0,personal
960,0,others
961,1,celebrity
962,1,plan
963,1,info_news
964,1,plan
965,-1,info_news
966,1,info_news
967,1,info_news
968,1,unrelated
969,1,info_news
970,1,personal
971,1,info_news
972,1,plan
973,1,personal
974,1,plan
975,1,info_news
976,1,personal
977,1,info_news
978,1,personal
979,1,info_news
980,1,unrelated
981,1,personal
982,1,info_news
983,1,personal
984,1,rumors
985,1,plan
986,0,personal
987,1,personal
988,0,unrelated
989,1,celebrity
990,1,plan
991,1,info_news
992,0,plan
993,1,info_news
994,1,celebrity
995,1,info_news
996,0,info_news
997,1,info_news
998,-1,info_news
999,0,info_news
1000,1,plan
1001,0,info_news
1002,1,info_news
1003,0,info_news
1004,1,plan
1005,1,info_news
1006,1,personal
1007,1,info_news
1008,1,info_news
1009,1,celebrity
1010,1,info_news
1011,1,info_news
1012,0,info_news
1013,1,info_news
1014,1,info_news
1015,1,plan
1016,1,others
1017,0,personal
1018,0,info_news
1019,-1,celebrity
1020,1,celebrity
1021,-1,info_news
1022,0,info_news
1023,1,personal
1024,0,unrelated
1025,0,info_news
1026,1,celebrity
1027,1,info_news
1028,1,info_news
1029,1,others
1030,1,info_news
1031,1,info_news
1032,1,celebrity
1033,0,others
1034,1,celebrity
1035,1,personal
1036,0,celebrity
